timestamp,date,time,portfolio_value,cash,positions,pnl,daily_pnl
20221101 10:22:59,20221101,10:22:59,499910.72011540376,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-89.27988459623884,-89.27988459623884
20221101 10:23:59,20221101,10:23:59,499904.7714411278,499110.3214411278,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-95.22855887218611,-95.22855887218611
20221101 10:24:59,20221101,10:24:59,499902.1863759718,499106.1863759718,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-97.81362402817467,-97.81362402817467
20221101 10:25:59,20221101,10:25:59,499893.0671552919,499087.8171552919,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-106.93284470809158,-106.93284470809158
20221101 10:26:59,20221101,10:26:59,499887.43642609194,499092.33642609196,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-112.56357390806079,-112.56357390806079
20221101 10:27:59,20221101,10:27:59,499887.536426092,499092.33642609196,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-112.46357390802586,-112.46357390802586
20221101 10:28:59,20221101,10:28:59,499887.88642609195,499092.33642609196,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-112.11357390804915,-112.11357390804915
20221101 10:29:59,20221101,10:29:59,499886.49328526,499080.84328525997,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-113.50671474001138,-113.50671474001138
20221101 10:30:59,20221101,10:30:59,499885.9589162759,499090.25891627587,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-114.04108372412156,-114.04108372412156
20221101 10:31:59,20221101,10:31:59,499886.60891627584,499090.25891627587,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-113.39108372415649,-113.39108372415649
20221101 10:32:59,20221101,10:32:59,499884.30891627586,499090.25891627587,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-115.69108372414485,-115.69108372414485
20221101 10:33:59,20221101,10:33:59,499884.55891627586,499090.25891627587,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-115.44108372414485,-115.44108372414485
20221101 10:34:59,20221101,10:34:59,499885.25891627587,499090.25891627587,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-114.7410837241332,-114.7410837241332
20221101 10:35:59,20221101,10:35:59,499883.85891627584,499090.25891627587,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-116.14108372415649,-116.14108372415649
20221101 10:36:59,20221101,10:36:59,499881.75891627587,499090.25891627587,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-118.2410837241332,-118.2410837241332
20221101 10:37:59,20221101,10:37:59,499883.97686638794,499089.47686638794,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-116.02313361206325,-116.02313361206325
20221101 10:38:59,20221101,10:38:59,499883.7768663879,499089.47686638794,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-116.22313361207489,-116.22313361207489
20221101 10:39:59,20221101,10:39:59,499884.5768663879,499089.47686638794,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-115.42313361208653,-115.42313361208653
20221101 10:40:59,20221101,10:40:59,499873.73458055995,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-126.26541944005294,-126.26541944005294
20221101 10:41:59,20221101,10:41:59,499875.28458055994,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-124.71541944006458,-124.71541944006458
20221101 10:42:59,20221101,10:42:59,499874.93458055996,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-125.0654194400413,-125.0654194400413
20221101 10:43:59,20221101,10:43:59,499875.0845805599,499078.03458055994,NIFTY22110318200CE:1; NIFTY22110318200PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-124.91541944007622,-124.91541944007622
